parent,child,question,answer
مباني قائمة,توفير الطاقة-مباني قائمة, التصميم المستدام للمبنى,"يمكن أن يساهم التصميم الذكي للمبنى بتقليل استهلاك الطاقة بشكل كبير. علماً أن التكلفة الأولية قد تكون أعلى من التصميم العادي، لكنه سيكون مجدي على المدى المتوسط والبعيد وذلك من خلال تقليل فواتير الكهرباء.
"
مباني قائمة,توفير الطاقة-مباني قائمة,تقليل استهلاك المكيف للطاقة,"يمكن تقليل الطاقة التي يستهلكها المكيف من خلال الممارسات التالية:
1. 	التحكم بدرجات الحرارة، تقليل درجة الحرارة درجتين شتاءً ورفعها درجتين صيفاً يمكن أن يساهم في تخفيض فاتورة الكهرباء.
2. 	تركيب مكيف ذو كفاءة عالية بحيث لا يحتوي على نسبة تسريب أكثر من 10%، مع قنوات (ducts) مستقيمة وقصيرة قدر الإمكان."
مباني قائمة,توفير الطاقة-مباني قائمة,هل من المجدي تركيب خلايا شمسية؟,"تعد الخلايا الشمسية إحدى أنظمة الطاقة المتجددة، واستخدامها يساعد في توفير نسبة تصل إلى 50% من استهلاك الطاقة. أما على الصعيد الاقتصادي، فتعتبر فترة استرداد رأس المال قصيرة. 
"
مباني قائمة,توفير الطاقة-مباني قائمة,هل من المجدي تركيب خلايا شمسية؟,"تعد الخلايا الشمسية إحدى أنظمة الطاقة المتجددة، واستخدامها يساعد في توفير نسبة تصل إلى 50% من استهلاك الطاقة. أما على الصعيد الاقتصادي، فتعتبر فترة استرداد رأس المال قصيرة. 
"
مباني قائمة,توفير الطاقة-مباني قائمة,كيف تؤثر الشبابيك على فاتورة الكهرباء؟,تساهم الشبابيك في تسريب الطاقة بين داخل وخارج المبنى، مما يساهم في زيادة الحمل الكهربائي على أنظمة التكييف والتبريد. لتقليل فاتورة الكهرباء يجب استخدام شبابيك ذات كفاءة عالية من خلال استخدام الشبابيك المزدوجة (double glass) وإغلاق الثغرات حول الشبابيك. 
مباني قائمة,توفير الطاقة-مباني قائمة,كيف تؤثر الشبابيك على فاتورة الكهرباء؟,تساهم الشبابيك في تسريب الطاقة بين داخل وخارج المبنى، مما يساهم في زيادة الحمل الكهربائي على أنظمة التكييف والتبريد. لتقليل فاتورة الكهرباء يجب استخدام شبابيك ذات كفاءة عالية من خلال استخدام الشبابيك المزدوجة (double glass) وإغلاق الثغرات حول الشبابيك. 
مباني قائمة,توفير الطاقة-مباني قائمة,كيف أقوم بتخفيض فاتورة الكهرباء من خلال الشبابيك؟,ضمان انسداد فتحات الشبابيك والأبواب يساعد في توفير الطاقة بنسبة تصل من 15-20%. وذلك من خلال استخدام مواد لإغلاق التشققات والفتحات يمكن الحصول عليها من محلات مواد البناء.
مباني قائمة,توفير الطاقة-مباني قائمة,كيف يمكن حل مشكلة زيادة في فاتورة الكهرباء أو الاستهلاك المفرط للطاقة؟,"	من خلال الاعتماد على الإضاءة الطبيعية، حيث أن الإضاءة الصناعية مسئولة عن 40% من استهلاك الطاقة (خاصة في المكاتب)، تعوّد على إطفاء الأنوار عندما تخرج من الغرفة لمدة تزيد عن 15 دقيقة.
·   	فصل الأجهزة الكهربائية غير المستخدمة لأن بعضها قد يستهلك طاقة حتى لو كانت غير مستخدمة.
·       الاعتماد على عداد الكهرباء مسبق الدفع يساعد في مراقبة استهلاك الكهرباء وتقليله.
"
مباني قائمة,توفير الطاقة-مباني قائمة,كيف يمكن حل مشكلة زيادة في فاتورة الكهرباء أو الاستهلاك المفرط للطاقة؟,"	من خلال الاعتماد على الإضاءة الطبيعية، حيث أن الإضاءة الصناعية مسئولة عن 40% من استهلاك الطاقة (خاصة في المكاتب)، تعوّد على إطفاء الأنوار عندما تخرج من الغرفة لمدة تزيد عن 15 دقيقة.
·   	فصل الأجهزة الكهربائية غير المستخدمة لأن بعضها قد يستهلك طاقة حتى لو كانت غير مستخدمة.
·       الاعتماد على عداد الكهرباء مسبق الدفع يساعد في مراقبة استهلاك الكهرباء وتقليله.
"
مباني قائمة,توفير الطاقة-مباني قائمة,هل تواجه مشكلة طول انتظار تسخين المياه في الشتاء؟,الاعتماد على عزل أنابيب المياه يحافظ على سخونة المياه لأطول فترة ممكنة ويقلل في تقليل فاتورة الكهرباء من خلال تقليل استهلاك الطاقة اللازمة لتسخين المياه
مباني قائمة,توفير الطاقة-مباني قائمة,كيف أتأكد من فاعلية الأجهزة الكهربائية؟,"إجراء فحص الجهوزية الكهربائية للتعرف على فاعليتها أثناء تجهيز المبنى، حيث يساهم في توفير التكلفة على مالك/مستخدم المبنى قبل إشغال المبنى (قبل السكن).
"
مباني قائمة,توفير الطاقة-مباني قائمة,كيف أتأكد من فاعلية الأجهزة الكهربائية؟,"إجراء فحص الجهوزية الكهربائية للتعرف على فاعليتها أثناء تجهيز المبنى، حيث يساهم في توفير التكلفة على مالك/مستخدم المبنى قبل إشغال المبنى (قبل السكن).
"
مباني قائمة,توفير الطاقة-مباني قائمة,كيف يمكن توفير استهلاك الطاقة أثناء تحضير الطعام؟,"يمكن توفير استهلاك الطاقة (كهرباء أو غاز أو غيرها) أثناء تحضير الطعام من خلال اتباع الإرشادات التالية:
1. 	استخدام الميكرويف لتسخين وطبخ الطعام عند اللزوم، حيث تحتوي التصاميم الجديدة من الميكروويف إعدادات لطبخ جميع أنواع الطعام وبطريقة أسرع من الفرن الكهربائي التقليدي. استخدام الميكرويف يمكن أن يوفر الطاقة بنسبة 80% مقارنة بالفرن الكهربائي.
2.     الإدارة الصحيحة أثناء الطعام، حيث أن استخدام غطاء الطنجرة أثناء الطهي و/أو التسخين يمكن أن يسرع من العملية وتوفير استهلاك الطاقة بنسبة تصل إلى 30%.
"
مباني قائمة,توفير الطاقة-مباني قائمة,هل تعلم أنه يمكنك استغلال مياه الأمطار لتقليل فاتورة المياه في منزلك؟,يمكنك جمع مياه الأمطار وتعقيمها والاستفادة منها بعدة طرق، كاستخدامها في عملية الري والتنظيف المنزلي وتنظيف السيارات، مما ينعكس على توفير في فاتورة المياه للمنزل.
مباني قائمة,توفير الطاقة-مباني قائمة,هل تعلم أنه يمكنك استغلال مياه الأمطار لتقليل فاتورة المياه في منزلك؟,يمكنك جمع مياه الأمطار وتعقيمها والاستفادة منها بعدة طرق، كاستخدامها في عملية الري والتنظيف المنزلي وتنظيف السيارات، مما ينعكس على توفير في فاتورة المياه للمنزل.
مباني قائمة,توفير الطاقة-مباني قائمة,كيف أتأكد من سلامة استخدام مياه الأمطار للشرب؟,"يمكنك فحص مياه الأمطار في أقرب دائرة صحة من منزلك باتباع إجراءات السلامة التالية:
ضرورة الحصول على علبة معقمة من أقرب صيدلية أو دائرة صحة، توضع عينة المياه فيها مع إحكام إغلاقها وتسليمها خلال فترة لا تزيد عن 30 دقيقة مع ضرورة عدم تعريضها للشمس أو الحرارة. إذا لم تستطع الوصول إلى مركز الصحة خلال 30 دقيقة يمكن حفظ العينة في أدفأ منطقة في  الثلاجة (رفوف باب الثلاجة).
"
مباني قائمة,البيئة-مباني قائمة,كيف أتأكد من سلامة استخدام مياه الأمطار للشرب؟,"يمكنك فحص مياه الأمطار في أقرب دائرة صحة من منزلك باتباع إجراءات السلامة التالية:
ضرورة الحصول على علبة معقمة من أقرب صيدلية أو دائرة صحة، توضع عينة المياه فيها مع إحكام إغلاقها وتسليمها خلال فترة لا تزيد عن 30 دقيقة مع ضرورة عدم تعريضها للشمس أو الحرارة. إذا لم تستطع الوصول إلى مركز الصحة خلال 30 دقيقة يمكن حفظ العينة في أدفأ منطقة في  الثلاجة (رفوف باب الثلاجة).
"
مباني قائمة,البيئة-مباني قائمة,كيف أتأكد من سلامة استخدام مياه الأمطار للشرب؟,"يمكنك فحص مياه الأمطار في أقرب دائرة صحة من منزلك باتباع إجراءات السلامة التالية:
ضرورة الحصول على علبة معقمة من أقرب صيدلية أو دائرة صحة، توضع عينة المياه فيها مع إحكام إغلاقها وتسليمها خلال فترة لا تزيد عن 30 دقيقة مع ضرورة عدم تعريضها للشمس أو الحرارة. إذا لم تستطع الوصول إلى مركز الصحة خلال 30 دقيقة يمكن حفظ العينة في أدفأ منطقة في  الثلاجة (رفوف باب الثلاجة).
"
مباني قائمة,البيئة-مباني قائمة,كيف أتأكد من سلامة استخدام مياه الأمطار للشرب؟,"يمكنك فحص مياه الأمطار في أقرب دائرة صحة من منزلك باتباع إجراءات السلامة التالية:
ضرورة الحصول على علبة معقمة من أقرب صيدلية أو دائرة صحة، توضع عينة المياه فيها مع إحكام إغلاقها وتسليمها خلال فترة لا تزيد عن 30 دقيقة مع ضرورة عدم تعريضها للشمس أو الحرارة. إذا لم تستطع الوصول إلى مركز الصحة خلال 30 دقيقة يمكن حفظ العينة في أدفأ منطقة في  الثلاجة (رفوف باب الثلاجة).
"
مباني قائمة,البيئة-مباني قائمة,هل هناك شروط صحية لاستخدام مياه الأمطار؟,نعم، استخدام مياه الأمطار يتطلب استخدام مواد صحية على سطح البناء قبل البدء بتجميع مياه الأمطار، حيث تعتبر بعضها مواد مسرطنة ولا يجب حدوث أي تلامس بينها وبين مياه الأمطار خاصة تلك المستخدمة للشرب.
مباني قائمة,البيئة-مباني قائمة,هل هناك شروط صحية لاستخدام مياه الأمطار؟,نعم، استخدام مياه الأمطار يتطلب استخدام مواد صحية على سطح البناء قبل البدء بتجميع مياه الأمطار، حيث تعتبر بعضها مواد مسرطنة ولا يجب حدوث أي تلامس بينها وبين مياه الأمطار خاصة تلك المستخدمة للشرب.
مباني قائمة,البيئة-مباني قائمة,هل هناك شروط صحية لاستخدام مياه الأمطار؟,نعم، استخدام مياه الأمطار يتطلب استخدام مواد صحية على سطح البناء قبل البدء بتجميع مياه الأمطار، حيث تعتبر بعضها مواد مسرطنة ولا يجب حدوث أي تلامس بينها وبين مياه الأمطار خاصة تلك المستخدمة للشرب.
مباني قائمة,البيئة-مباني قائمة,هل هناك شروط صحية لاستخدام مياه الأمطار؟,نعم، استخدام مياه الأمطار يتطلب استخدام مواد صحية على سطح البناء قبل البدء بتجميع مياه الأمطار، حيث تعتبر بعضها مواد مسرطنة ولا يجب حدوث أي تلامس بينها وبين مياه الأمطار خاصة تلك المستخدمة للشرب.
مباني قائمة,البيئة-مباني قائمة,هل أقوم بتجميع مياه الأمطار في المباني القائمة أم المباني قيد الإنشاء؟,يمكن الاستفادة من مياه الأمطار في جميع أنواع المباني، وينصح بعمل نظام تجميع المياه خلال عملية التصميم قبل البدء بإنشاء المبنى. ويمكن أيضاً الاستفادة من مياه الأمطار في المباني القائمة.
مباني قائمة,البيئة-مباني قائمة,هل أقوم بتجميع مياه الأمطار في المباني القائمة أم المباني قيد الإنشاء؟,يمكن الاستفادة من مياه الأمطار في جميع أنواع المباني، وينصح بعمل نظام تجميع المياه خلال عملية التصميم قبل البدء بإنشاء المبنى. ويمكن أيضاً الاستفادة من مياه الأمطار في المباني القائمة.
مباني قائمة,البيئة-مباني قائمة,"هل أقوم بتجميع مياه الأمطار في المباني القائمة أم المباني قيد الإنشاء؟
",يمكن الاستفادة من مياه الأمطار في جميع أنواع المباني، وينصح بعمل نظام تجميع المياه خلال عملية التصميم قبل البدء بإنشاء المبنى. ويمكن أيضاً الاستفادة من مياه الأمطار في المباني القائمة.
مباني قائمة,البيئة-مباني قائمة,"هل أقوم بتجميع مياه الأمطار في المباني القائمة أم المباني قيد الإنشاء؟
",يمكن الاستفادة من مياه الأمطار في جميع أنواع المباني، وينصح بعمل نظام تجميع المياه خلال عملية التصميم قبل البدء بإنشاء المبنى. ويمكن أيضاً الاستفادة من مياه الأمطار في المباني القائمة.
مباني قائمة,البيئة-مباني قائمة,كيف يؤثر نوع المرحاض على فاتورة المياه؟,جميع المراحيض المصنعة قبل عام 1992 تستهلك حوالي 13 لتر ماء لكل ضغطة (flush)، لكن التصاميم الحديثة تستهلك ما لا يزيد عن 4 لتر ماء لكل ضغطة. عليك اعتماد الأنواع الجديدة للحصول على توفير يصل إلى 60% وتقليل فاتورة المياه. 
مباني قائمة,البيئة-مباني قائمة,كيف يؤثر نوع المرحاض على فاتورة المياه؟,جميع المراحيض المصنعة قبل عام 1992 تستهلك حوالي 13 لتر ماء لكل ضغطة (flush)، لكن التصاميم الحديثة تستهلك ما لا يزيد عن 4 لتر ماء لكل ضغطة. عليك اعتماد الأنواع الجديدة للحصول على توفير يصل إلى 60% وتقليل فاتورة المياه. 
مباني قائمة,البيئة-مباني قائمة,هل من الأفضل استخدام مياه باردة أم ساخنة في عملية الغسيل؟,استخدام المياه الباردة في عملية الغسيل توفر نسبة تصل إلى 80% من الطاقة، يمكنك التحكم بإعدادات الغسالة لدرجة الحرارة.
مباني قائمة,البيئة-مباني قائمة,هل من الأفضل استخدام مياه باردة أم ساخنة في عملية الغسيل؟,استخدام المياه الباردة في عملية الغسيل توفر نسبة تصل إلى 80% من الطاقة، يمكنك التحكم بإعدادات الغسالة لدرجة الحرارة.
مباني قائمة,البيئة-مباني قائمة,كيف يمكن توفير المياه أثناء عملية الغسيل؟,بالاعتماد على البرنامج الموفر للبيئة (ECO) والذي غالباً يرافقه شكل ورقة شجر. تستهلك هذه التصاميم أقل من 100 لتر لكل حمولة بينما تستهلك التصاميم القديمة 150 لتر لكل حمولة.
