id,titleAr,titleEn,contentAr,contentEn,newsDate,type,monthAr,monthEn,year,locationAr,locationEn,link,img
12,إطلاق مشروع صمود,project Launch,"أطلق المجلس الفلسطيني مشروع ""تعزيز الصمود من خلال نشر ثقافة المباني الخضراء في المجتمع الفلسطيني""، فهو المشروع هو الأول من نوعه في فلسطين بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي.

عقد المجلس الفلسطيني أربعة لقاءات مع اللجنة التوجيهية للمشروع، والتي تتألف من ممثلين عن مجموعة من المؤسسات الفلسطينية العامة المختصة بقضايا المباني الخضراء. تم خلال الاجتماعات التعريف بالمجلس الفلسطيني للأبنية الخضراء ومشروع صمود، المخرجات المتوقعة للمشروع، أمثلة على أنظمة حوافز إقليمية وعالمية، التعريف بمبادئ الأبنية الخضراء والخروج بتوصيات حول نقاط أنظمة الحوافز التي سيتم العمل عليها بالتعاون مع مقدمي الخدمات (البلديات) المحلية. 
","Palestine Green Building Council (PalGBC) has launched the project :“Supporting the resilience of the Palestinians through building the capacities of the community, the markets, and establishing an incentive system for green buildings. Being the first project of its kind in Palestine, funded by The Arab Fund for Economic and Social Development. 

PalGBC conducted 4 Steering Committee meetings, which consists of representatives of Public Palestinian organizations related to green building work. PalGBC and Somoud project were introduced during the meetings, in addition to expected project outputs, Example of regional and international incentive systems, green building fundamentals, and recommendations for service providers (Municipalities) which will be included in this project",2021-01-01,2,كانون الثاني,January ,2021,رام الله,Ramallah ,,NULL
18,مقابلة مع برنامج المجلة المنوعة ,interview with a Radio show,"ضافت الإعلامية ميسون مناصرة منسقة المشاريع البيئية للمجلس الفلسطيني للأبنية الخضراء م. حنين داود ضمن برنامج المجلة المنوعة المذاع على راديو أجيال المحلي للحديث عن مشروع صمود وسلسلة التدريبات المنعقدة خلال المشروع.
","The journalist Maysoon Manasrah hosted Eng. Haneen Dawoud the project coordinator at Palestine Green Building Council within her morning program on Ajyal Radio station to discuss “Somoud” project activities, and training courses specifically",2021-06-02,2,حزيران ,June ,2021,رام الله,Ramallah ,,NULL
22,عقد دورة التدقيق الطاقي,Energy Audit training course,"عقد المجلس الفلسطيني للأبنية الخضراء تدريب "" التدقيق الطاقي Energy Audit"" خلال الأسبوع الأول من شهر آب لمدة 5 أيام تدريبية، يعقد التدريب بالتعاون مع سلطة الطاقة والموارد الطبيعية الفلسطينية.
احتوى التدريب على الجوانب النظرية والعملية حول مواضيع التدقيق الطاقي وإدارة الطاقة في المباني. 
جاء هذا التدريب ضمن مشروع صمود الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.","Palestine Green Building Council (PalGBC) conducted an “Energy Audit” 5-Days training course during the first week of August 2021 in cooperation with Palestinian Energy and Natural Resources Authority (PENRA). 
The training included both theoretical and practical parts in regards to energy audit and energy management in buildings.
This training is part of the “Soumoud” project funded by the Arab Fund for Economic and Social Development.",2021-08-02,2,آب ,August ,2021,رام الله ,Ramallah ,,NULL
25,توقيع اتفاقية تفاهم مع بلدية بيت ساحور,Ramallah - Beit Sahour,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية بيت ساحور يوم السبت الموافق 7 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء وتعنى الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد جهاد خير رئيس بلدية بيت ساحور بحضور م. حنين داود منسقة المشروع والسيدة مها الأطرش مديرة مكتب رئيس البلدية.","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Beit ٍSahour Municipality on Saturday, August 7th, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Jihad Khair ( the Mayor)  in the presence of Eng. Haneen Dawoud (The project coordinator) and Ms. Maha Al-Atrash (Director of Mayor’s office)",2021-08-07,2,آب ,August ,2021,رام الله - بيت ساحور,Ramallah - Beit Sahour,,NULL
32,اتفاقية تفاهم بلدية حلحول ,"Signing memorandum of understanding MoU with the Municipality of 
Halhoul
","وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية حلحول. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد حجازي مرعب رئيس بلدية حلحول وم. وجدان الشريف المديرة التنفيذية للمجلس بحضور الطاقم الهندسي للبلدية.

","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Betunia Municipality in October, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Hijazi Mereb ( the Mayor)",0000-00-00,2,تشرين الأول,October ,2021,حلحول- رام الله,Ramallah -Halhul,,NULL
39,"عقد محاضرة ""التصريح عن المنتجات الخضراء""",Declaring green products ِEvent ,فعالية افتراضية بتاريخ  9 من شهر شباط 2021، بإشراف المدرب غراهام ديفلن.  تم فيها الحديث عن كيفية البدء بالتصريح والإعلان عن المنتجات الخضراء، وأهمية هذا النوع من الإعلان وكيف يؤثر على المنافسة محلياً وعالمياً. استهدفت الفعالية أصحاب المشاريع الخضراء والمهتمين بتسويق منتجاتهم الصديقة للبيئة والمبادرات المهتمين بالتطوير المستدام.,"Declaring green products is a virtual event that took place on 9th of February, 2021, supervised by Mr. Graham Devlin. The event discussed how to declare, and advertise green products, the importance of this declaration and how it might affect competition on the local and global levels. The event targeted green businesses, those interested in advertising their eco-friendly products, and those concerned with sustainable development",2021-02-01,1,شباط ,February ,2021,رام الله,Ramallah ,,NULL
40,كونغرس الأبنية الخضراء- الشرق الأوسط وإفريقيا,Green building MENA Congress,"كونغرس الأبنية الخضراء هو فعالية افتراضية عقدت بتاريخ 22-25 آذار 2021.  وينظمها المجلس العالمي للأبنية الخضراء تستهدف عدة مواضيع أهمها:  إعادة هيكلة المدن، والأبنية صفرية الطاقة، وصحة الأفراد في المباني. استهدف صناع القرار والسياسات، ورواد الأعمال في قطاع العقارات والإنشاءات. حيث أن المجلس العالمي ومجموعة شبكات الأبنية الخضراء يعملون على تعزيز استفادة الأفراد من استدامة الأبنية في جميع المناطق، وخلق نقلة نوعية في قطاع الإنشاءات والعقارات من خلال ثلاثة محاور أساسية: التغير المناخي، تحسين صحة الأفراد، واستدامة استهلاك المصادر.
ومن أهم أهداف كونغرس الأبنية الخضراء – الشرق الأوسط وإفريقيا:
<br>

1. توفير منصة لأعضاء المجلس العالمي للأبنية الخضراء وأعضاء المجالس وذوي العلاقة لتبادل الأفكار لتحسين استدامة المباني.<br>

2. دعم ومناصرة السياسات من خلال خلق زخم لقضايا البناء الأخضر يستهدف صناع القرار في صناعة الإنشاءات والعقارات، وذلك من خلال اقتراح سياسات ذكية واستراتيجيات وبرامج دمج القطاع الخاص والحكومي.
<br>

3. تشجيع تبني الممارسات البيئية في الأبنية، واستخدام تكنولوجيا جديدة، وعرض رؤية لتقوية القدرات الاقتصادية.
<br>

4. حث الشركات والخبراء على التواصل مع مجلس الأبنية الخضراء المحلي، ليكونوا سفراء للحراك العالمي للأبنية الخضراء.
<br>

5. عقد منتدى تشبيك العلاقات ومناقشة فرص العمل بين المشاركين.<br>

6. تشجيع مجالس الأبنية الخضراء الإقليمية لمشاركة الدروس المستفادة والخطط المستقبلية.
<br>
7. مناقشة الطرق والوسائل لتطوير التعاون الإقليمي.
فحضر الكونغرس عدة خبراء و مهندسين ورؤوس أموال ورواد أعمال ومبادرات","Green Buildings Congress is a virtual event held during  March 22nd-25th, 2021, by the World Green Building Council (WGBC). Discussing several topics, most important of which are: restructuring cities, zero-energy buildings, and health of individuals in buildings, targeting decision and policy makers, entrepreneurs in real estate and construction sectors. The WGBC and the MENA Green building networks are working to optimize individual’s benefit from the sustainability of buildings in all regions and create a forward leap in real estate and construction sectors through three main axes: climate change, enhancing individual’s health, and resource consumption sustainability
The objectives of this congress include:
<br> 
 
1.Provide a platform for members of the WGBC, council members, and stakeholders to exchange ideas in order to improve the sustainability of buildings. <br> 

2.Supporting and advocating policies by creating momentum for green building issues, targeting decision makers in real estate and construction industry, by proposing smart policies, strategies and programs for integrating the private and government sectors. 
<br> 

3.Encouraging the adoption of environmental practices and new technologies in buildings and presenting a vision to strengthen economic capabilities.
<br> 
 
4.Urging companies and experts to communicate with the local Green Building Council, to be ambassadors for the global movement of Green Buildings.
<br> 
 
5, Holding a forum for networking relationships and discussing job opportunities amongst the participants.
<br> 
6. Encouraging the Regional Green Building Councils to share lessons learned along with future plans.

<br>
7.Discuss means to develop regiona
l cooperation. 
<br>

The congress was attended by several experts, engineers, stakeholders, decision makers, entrepreneurs and initiatives",2021-02-01,1,شباط ,February ,2021,رام الله- الشرق الأوسط ,Ramallah- MENA Region,,NULL
41,جلسة حول الأبنية الخضراء بالتعاون مع المعهد العالي للهندسة والتكنولوجيا ,Green Building Session in cooperation with Higher Institute of Engineering and Technology,"عقد المجلس الفلسطيني للأبنية الخضراء ندوة بعنوان ""الأبنية الخضراء ونظام الريادة في تصميمات الطاقة والبيئة LEED"" بتاريخ 29 آذار 2021  بالتعاون مع المعهد العالي للهندسة والتكنولوجيا بكفر الشيخ في جمهورية مصر العربية، وذلك ضمن فعاليات مؤتمر المعهد العلمي السنوي لقسم الهندسة المعمارية، بمشاركة منسقة المشاريع م.حنين داود كممثلة عن المجلس الفلسطيني للأبنية الخضراء بحضور الهيئة التدريسية ومجموعة من طلبة المعهد عبر منصة Zoom.","PalGBC collaborated with the higher institute of engineering and technology in Kafr AL Sheikh in the Republic of Egypt to host a session titled “ Green Buildings and the Leadership in Energy and Environmental Design LEED” on March 29th, 2021, as part of the annual Scientific Institute Conference for the Department of Architecture. Palestine GBC was presented by the project coordinator Eng.Haneen Dawoud, attended by faculty members and students from the institution via Zoom",2021-03-01,1,آذار ,March ,2021,فلسطين - جمهورية مصر,Ramallah- Egypt,,NULL
42,عقد محاضرة مع جمعية مهندسي الكهرباء,IEEE | Lecture with student branch of IEEE,"عقد المجلس الفلسطيني للأبنية الخضراء محاضرة بعنوان ""الأبنية الخضراء والأبنية صفرية الطاقة"" يوم الأحد الموافق 25 نيسان 2021 ضمن فعاليات يوم مجتمع القوى والطاقة للعام 2021 بالتعاون مع الفرع الطلابي لجمعية مهندسي الكهرباء IEEE في جامعة النجاح الوطنية، قدمتها منسقة المشاريع م. حنين داوود بحضور ما يزيد عن 25 طالب وطالبة من تخصصات الطاقة من الجامعة.","Palestine GBC conducted a lecture “Green buildings and Net Zero Energy Buildings” on ٍSunday, April 25th, 2021, during Power and Energy Society Day in association with the student branch of Institute of Electrical and Electronics Engineers (IEEE) at Najah national University (NNU)- Nablus. Presented by the project coordinator Eng.Haneen Dawoud, Where more than 25 energy and power engineering students participated",2021-05-01,1,أيار ,May ,2021,رام الله- نابلس ,Nablus- Ramallah,,NULL
43,مسابقة الشرق الاوسط وشمال افريقيا ,MENA Building Awards,"يعلن المجلس الفلسطيني للأبنية الخضراء عن شراكته مع مجلس الإمارات للأبنية الخضراء في مسابقة الشرق الأوسط وشمال إفريقيا للأبنية الخضراء للعام الرابع على التوالي.
المسابقة بتنظيم من مجلس الإمارات للأبنية الخضراء بالتعاون مع 8 مؤسسات من مجالس الأبنية الخضراء العربية
من الجدير ذكره أن فلسطين كانت على لائحة الفائزين بالمسابقة خلال عامي 2018 و2019 عن فئات (أفضل مبنى عام وأفضل بحث علمي)","Palestine Green Building Council (PalGBC) is proud to announce the partnership with Emirates GBC in 2021 MENA Green Building Awards for the 4th year in a row.
The event is organized by the Emirates Green Building Council and in partnership with 8 regional Green building councils
It’s worth mentioning that 2 Palestinians were awarded in 2018 and 2019 for the categories: Public building of the year and research of the year respectively",2021-07-01,1,تموز ,July ,2021,فلسطين- الإمارات العربية المتحدة,Palestine - UAE,,NULL
