state_en,name_en,state_ar,name_ar
Jerusalem,Jerusalem,القدس,القدس
Jerusalem,"Abu Dis
",القدس,أبو ديس
Jerusalem,Umm Lisun,القدس,أُم ليسون
Jerusalem,Ishua',القدس,إشوع
Jerusalem,Bir Nabala,القدس,بئر نبالا
Jerusalem,Battir,القدس,بتّير
Jerusalem,Biddu,القدس,بدّو
Jerusalem,Al Briej,القدس,البريج
Jerusalem,Bayt Umm al-Mays,القدس,بيت أم الميس
Jerusalem,"Beit Ijza
",القدس,بيت إجزا
Jerusalem,Beit Iksa,القدس, بيت إكسا
Jerusalem,Bayt Thul,القدس, بيت ثول
Jerusalem,Beit Jimal,القدس,بيت جمال
Jerusalem,Beit Hanina,القدس,بيت حنينا
Jerusalem,Beit Duqqu,القدس,بيت دقّو
Jerusalem,Bayt Saqiya,القدس, بيت ساقية
Jerusalem,Beit Surik,القدس,بيت سوريك
Jerusalem,Beit Safafa,القدس,بيت صفافا
Jerusalem,Bayt 'Itab,القدس,بيت عطاب
Jerusalem,"Beit 'Anan
",القدس,بيت عنان
Jerusalem,Bayt Mahsir,القدس,بيت محسير
Jerusalem,Bayt Naqquba,القدس,بيت نقّوبا
Jerusalem, Jaba',القدس,جبع
Jerusalem,Judayra,القدس,جديره
Jerusalem,Jerash,القدس,جرش
Jerusalem,al-Jura,القدس,الجورة
Jerusalem,Al Jib,القدس,الجيب
Jerusalem,Hazmieh,القدس,الحازمية
Jerusalem,Hizma,القدس,حزما
Jerusalem,Khan al Ahmar ,القدس,الخان الاحمر
Jerusalem,Khirbat Ism Allah,القدس,خربة إسم الله
Jerusalem,Khirbat al-Tannur ,القدس,خربة التنور
Jerusalem, Khirbat al-Za'rura,القدس,خربة الزعرورة
Jerusalem,alShaykh Sa'ad,القدس,خربة الشيخ سعد
Jerusalem,Khirbat al-'Umur,القدس,خربة العمور
Jerusalem,Khirbat al-Lawz,القدس,خربة اللوز
Jerusalem,Khirbat al Makhrum,القدس,خربة المخروم
Jerusalem,Dayr Aban,القدس,دير آبان
Jerusalem,Dayr al-Shaykh,القدس,دير الشيخ
Jerusalem,Dayr al-Hawa,القدس,دير الهوا
