title,content,trainer,location,hours,start_date,scholership,google_form_id,target_audince,partners,objective,fees,img,panel
تدريب المواد الخضراء       ,"    يركز التدريب على مبادئ وأفضل الممارسات الخاصة بالأبنية الخضراء ومتطلبات الشهادات خصوصاً تلك التي تدور حول اختيار مواد البناء الصديقة للبيئة. يساعد هذا التدريب المتدربات/ين على معرفة خصائص المواد الخضراء.
يساعد التدريب في التعرف إلى متطلبات أنظمة تقييم الأبنية الخضراء من خلال التطرق إلى الخصائص المعتمدة ومبادئ ومتطلبات ومعايير المواد الخضراء.
 ",مجلس قطر للأبنية الخضراء     ,عبر منصة زوم الإلكترونية     ,2.5 ساعة تدريب لكل لقاء. ,2021-04-26,0,1,مصمم داخلي، معماري، شركات الإنشاء، مدير مشروع، استشاري إشراف، استشاري استدامة وأصحاب المباني.     , مجلس قطر للمباني الخضراء     ,"    1- التعرف إلى أهم خصائص المواد الخضراء.
<br>2-
التعرف إلى أفضل الممارسات بما يخص توصيف وعطاءات المواد الخضراء.
<br>
3-
معرفة نقاط أنظمة تقييم الأبنية الخضراء الخاصة بالمواد الخضراء ومتطلباتها وأهدافها.
<br>
4- 
التخطيط لتوثيق الشهادات ومعرفة الاعتبارات والمتطلبات الأساسية.
 
 ",   ,https://www.palgbc.org/img/logo1.png,admin
تدريب الريادة في تصميمات الطاقة والبيئة: المستوى الأول,"يهدف التدريب إلى التعريف ببالنسخة الرابعة من نظام تقييم الأبنية الخضراء ""الريادة في تصميمات الطاقة والبيئة- LEED""، وعملية الحصول على الشهادات. بالإضافة إلى التعرف إلى المحاور البيئية للنظام/ أهداف تخضير المباني، الطرق والاعتبارات البيئية من خلال عرض أمثلة واقعية. يستعرض التدريب أيضاً مبادئ مهمة وقواعد وحوافز تخص النظام وكيفية حصول المبنى على الشهادة.
",مجلس قطر للأبنية الخضراء.,عبر منصة زوم الإلكترونية., 3 ساعات تدريبية لكل لقاء,2021-05-23,1,1,"المهندسين أو مدراء المرافق وغيرهم.
",مجلس قطر للأبنية الخضراء.," 
1- 
التعرف إلى هيكلية نظام ""الريادة في تصميمات الطاقة والبيئة"" وعملية التسجيل وترخيص الأبنية.
<br>
2-
التعرف إلى التغييرات الطارئة على النسخة الرابعة من النظام
<br>
3-
التعرف إلى أهم مبادئ الأبنية الخضراء وربطها مع نقاط نظام الريادة في تصميمات الطاقة والبيئة
<br>
4-
التعرف إلى أنجح الطرق والاستراتيجيات للنظام لتحقيق الأهداف
<br>
5-
أهمية دور التصميم المتكامل والتكاملية بين محاور نظام الريادة في تصميمات الطاقة والبيئة
<br>
6-
الخطوات العملية للتقديم امتحان المستوى الأول من الريادة في تصميمات الطاقة والبيئة.
",,https://www.palgbc.org/img/logo1.png,admin
تدريب التحضيري لامتحان المستوى الثاني من الريادة في تصميمات الطاقة والبيئة للأبنية القائمة,"يركز التدريب على فهم الخيارات المتاحة للشهادة مع متطلباتها وأفضل الممارسات للوصول إلى تشغيل مستدام للأبنية. مع الأخذ بعين الاعتبار على استخدام برنامج آرك في نمذجة التشغيل والصيانة للمباني القائمة والذي يساعد في تحسين التواصل بين مالك المبنى وإدارة المبنى لتحسين استدامته باستمرار من خلال مراقبة الطاقة والمياه والنفايات والمواصلات والأشخاص مستخدمي البناء.
علماً أن فريق التشغيل والصيانة للمباني لديهم الخيارين للحصول على علامات الشهادة إما بالطريقة التقليدية (من خلال نظام النقاط) أو باستخدام النقاط على أساس الأداء. يساعد هذا التدريب المتدربات/ين على اتخاذ القرار المناسب في مشاريعهم القادمة بهذا الخصوص.
",مجلس قطر للأبنية الخضراء.,عبر منصة زوم.,3 ساعات تدريبية لكل لقاء.,2021-04-20,1,1,"مهندسي الصيانة والتشغيل للمباني، مدراء المرافق.
",مجلس قطر للأبنية الخضراء.,"1-
التعريف بالطريقتين لإدارة المبنى والحصول على نقاط شهادة الريادة في تصميمات الطاقة والبيئة للمباني القائمة، مع بيان مميزات كل طريقة وأوجه الاختلاف.
<br>
2-
مناقشة كيف يمكن للمشروع تحقيق نقاط من خلال برنامج آرك (Arc).
<br>
3-
قائمة المتطلبات لكل من الطريقة التقليدية والحديثة للحصول على شهادة الريادة في تصميمات الطاقة والبيئة للمباني القائمة.
<br>
4-
التعرف إلى أهداف ومتطلبات كل واحدة من متطلبات نظام الشهادة.
",,https://www.palgbc.org/img/logo1.png,admin
تدريب نمذجة وتحليل أعمال الطاقة,"يهدف التدريب إلى التعريف بالمبادئ النظرية والعملية الخاصة بنمذجة وتحليل أعمال الطاقة، والتعرف على استخدام برنامج (eQuest) لنمذجة الطاقة
",د. محمد السيد.  ,رام الله - فندق الكرمل,6 ساعات تدريبية لكل لقاء.,2021-06-01,1,1,"فنيي ومهندسي تخصصات الطاقة والكهرباء
",,"1-
التعرف إلى المبادئ الرياضية حول نمذجة الطاقة

<br>
2-
نظم استهلاك الطاقة ونماذجها في المباني
<br>
3-
التدريب على استخدام برنامج (eQuest) لنمذجة الطاقة
<br>
4-
تطبيق عملي لحالات دراسية باستخدام البرنامج
",,https://www.palgbc.org/img/logo1.png,admin
تدريب تقييم الأثر البيئي ,"يهدف التدريب إلى التعريف بتقييم الأثر البيئي والإجراءات الرسمية المتخذة مع سلطة جودة البيئة لترخيص المنشآت الصناعية. 
",سلطة جودة البيئة الفلسطينية. , فندق الكرمل في رام الله. ,6 ساعات تدريبية. ,2021-06-23,1,1,"المهتمين بالقطاع البيئي للحصول على موافقة سلطة جودة البيئة كمتطلب أساسي لترخيص المنشآت الصناعية محلياً.
","سلطة جودة البيئة الفلسطينية.
","1- لتعريف بتقييم الأثر البيئي
 <br>2-
كيفية تحديد الأضرار البيئية المتوقعة وتخفيفها خلال مراحل تصميم 
  

المشروع وتنفيذه
",100 شيكل ,https://www.palgbc.org/img/logo1.png,admin
دورة  فحص الجهوزية للأنظمة والأجهزة الكهربائية  ,يعقد التدريب للمرة الأولى في فلسطين، ويساعد على تأهيل الطواقم في قطاع البناء إلى تطوير الخدمات المقدمة من خلال تحسين أداء الأنظمة والأجهزة الكهربائية وتقليل الحاجة لصيانتها.,شركة Alpin لاستشارات الاستدامة والحلول المتكاملة. ,عبر منصة زوم., 4 ساعات تدريبية لكل يوم.,2021-07-12,1,1,"مهندسي وفنيي تخصصات الطاقة والكهرباء
",,"

1-التعرف إلى مبادئ فحص الجهوزية القديمة والحديثة
<br>2-
استعراض أنواع فحص الجهوزية، معاييرها وخطواتها الإرشادية.
<br>3-
كيفية الفحص خلال مراحل البناء، وكيفية اختيار أفضل توقيت لإجراء الفحص.
<br> 4-
التعريف بالاعتمادات الدولية والامتحانات وكيفية التقدم
",,https://www.palgbc.org/img/logo1.png,sommod
دورة التدقيق الطاقي ,يهدف التدريب إلى التعريف بأهم مبادئ التدقيق الطاقي للأبنية القائمة، والتعريف بالخطوات العملية لإنجاز التدقيق والأجهزة اللازمة. يحتوي التدريب على أيام تدريبية عملية على التدقيق الطاقي.," سلطة الطاقة والموارد الطبيعية الفلسطينية.
",رام الله- فندق الكرمل., 30 ساعة تدريبية.,2021-08-01,1,1,"فنيي ومهندسي تخصصات الكهرباء والطاقة.
",سلطة الطاقة والموارد الطبيعية الفلسطينية.,"1- التعريف بمبادئ التدقيق الطاقي وإدارة الطاقة.
<br>
2- منهجية التدقيق الطاقي، وجمع وتحليل البيانات.
<br>
3-
التدقيق الطاقي لأنظمة الإنارة، الأنظمة الحرارية، التكييف والتبريد، المضخات والأجهزة الكهربائية
<br>
4-
إعداد تقارير التدقيق الطاقي
<br>
5-
تطبيق عملي للتدقيق الطاقي
",,https://www.palgbc.org/img/logo1.png,admin
دورة الريادة في تصميمات الطاقة والبيئة الأبنية قيد الإنشاء  ,"يهدف التدريب إلى استعراض المتطلبات الفنية للنسخة الرابعة من نظام تقييم الأبنية الخضراء ""الريادة في تصميمات الطاقة والبيئة للمباني قيد الإنشاء"". بالإضافة إلى التعرف إلى النقاط الإجبارية والاختيارية لكل واحدة من فئات الشهادة، وكيفية ملائمتها حسب نوع المشروع.
يقدم التدريب المعرفة اللازمة للتطبيق العملي الناجح للنظام من خلال التعرف إلى هدف كل واحدة من نقاط النظام ومتطلباتها ومعاييرها وتكاملها مع النقاط والفئات الأخرى. سيتم أيضاً التطرق إلى التكاملية والفروقات بين نظام الإنشاء ونظام التصميم الداخلي.
",مجلس قطر للأبنية الخضراء. ,عبر منصة زوم. , 9 ساعات تدريبية,2021-08-08,0,1,لمهتمين بالعمل في مجال الأبنية الخضراء و/أو الحصول على شهادة الريادة في تصميمات الطاقة والبيئة من المهندسين أو مدراء المرافق وغيرهم.,مجلس قطر للأبنية الخضراء. ,"1- 
التعرف إلى أهداف ومتطلبات وسياسات نجاح كل واحدة من
 نقاط النسخة الرابعة من نظام الريادة في تصميمات الطاقة والبيئة للمباني قيد الإنشاء.

<br> 2- 
التعرف إلى استراتيجيات النقاط لكل واحدة من النقاط بالإضافة لتكاملية الفئات مع بعضها.<br>

3- التخطيط للاعتبارات اللأساسية ومتطلباتها حول التوثيق للشهادة.
<br> 4-
التعرف إلى كيفية مساهمة متطلبات النقاط في تحسين أداء المبنى والتحول في السوق.<br>
5-
رسم خارطة طريق للحصول على شهادة الريادة في تصميمات الطاقة والبيئة للمباني القائمة.<br>

",,https://www.palgbc.org/img/logo1.png,admin
تدريب نظم إدارة البيئة آيزو,يهدف التدريب إلى التعريف بمبادئ نظم الإدارة البيئية، ومتطلباتها حسب نسختها الأخيرة في العام 2015، وكيفية ربطها مع سياق عمل المؤسسة/المصنع/الشركة، بناء السياسات البيئية والتخطيط لها، وتطبيقها خلال المرحلة التشغيلية للمؤسسة وتقييم الأداء والتطوير.,"مؤسسة المواصفات والمقاييس.
", رام الله - فندق الكرمل,12 ساعة تدريبية.,2021-08-16,0,1,استشاريي نظم الإدارة في القطاع الخاص، مهندسي الجودة، مدراء المرافق.,مؤسسة المواصفات والمقاييس. ,"1- التعرف إلى أهداف ومبادئ ومتطلبات نظم الإدارة البيئية
<br>
2- فهم سياق عمل المؤسسة لموائمتها مع متطلبات النظام
<br>
3-
التخطيط والدعم والتشغيل وتقييم الأداء والتطوير لعمل المؤسسة ضمن سياق نظم الإدارة البيئية.
",,https://www.palgbc.org/img/logo1.png,admin
تدريب خبير في نظام الأبنية الخضراء ,"يهدف التدريب إلى خلق المعرفة والاعتماد لتكون خبير بنظام تقييم الأبنية الخضراء ""إيدج"". نظام ""إيدج"" هو نظام تقييم وتصديق للأبنية الخضراء يركز على تحسين كفاءة استهلاك المصادر في المباني، وتم تأسيسه من مؤسسة التمويل الدولية (وهي عضو مجموعة البنك الدولي).
",م. ميسون خريسات ,عبر منصة زوم. , 9 ساعات تدريبية. ,2021-09-01,0,1,"المهتمين في قطاع الأبنية الخضراء، وطلبات تمويل المشاريع من البنك الدولي.
",,"1- التطرق إلى نظام ""إيدج"" وعمليات التصديق.
<br>

2- تعلم كيفية إجراء التقييم باستخدام برنامج إيدج.
<br> 3-
التعرف إلى استراتيجيات كفاءة المياه والطاقة والموارد وأثرها على تقليل التكاليف وأداء المبنى.
<br>
4-
تعلم أفضل الممارسات حول إيجاد نظام إيدج في السوق المحلي
<br>
5-
التعرف إلى نموذج الامتحان والمواد الدراسية للنجاح في الامتحان كخبير.
",,https://www.palgbc.org/img/logo1.png,admin
