title_ar,title_en,content_ar,content_en,trainer_ar,trainer_en,location_ar,location_en,hours_ar,hours_en,start_date,target_audince_ar,target_audince_en,partners_ar,partners_en,objective_ar,objective_en,fees,img,panel
تدريب المواد الخضراء       ,Green Materials training     ,"    يركز التدريب على مبادئ وأفضل الممارسات الخاصة بالأبنية الخضراء ومتطلبات الشهادات خصوصاً تلك التي تدور حول اختيار مواد البناء الصديقة للبيئة. يساعد هذا التدريب المتدربات/ين على معرفة خصائص المواد الخضراء.
يساعد التدريب في التعرف إلى متطلبات أنظمة تقييم الأبنية الخضراء من خلال التطرق إلى الخصائص المعتمدة ومبادئ ومتطلبات ومعايير المواد الخضراء.
 ","    This training will focus on the principals and best practices to comply with green building certifications requirements for selecting and specifying a green material. The workshop will identify the main attributes that define a green material.
The workshop will provide essential knowledge for successful implementation of the rating systems prerequisites and requirements within design and material specification activities. By defining material related credits and learning credit intents, key concepts, requirements, strategies, referenced standards and synergies within all material related credits.
  ",مجلس قطر للأبنية الخضراء     , Qatar Green Building Council (QGBC)      ,عبر منصة زوم الإلكترونية     ,Via Zoom.      ,2.5 ساعة تدريب لكل لقاء. ,2.5 training hours per meeting.      ,2021-04-26,مصمم داخلي، معماري، شركات الإنشاء، مدير مشروع، استشاري إشراف، استشاري استدامة وأصحاب المباني.     ,"The workshop is best for interior designers, Architects, construction companies, project managers, supervision consultants, sustainability consultants and building owners.     ", مجلس قطر للمباني الخضراء     ,Qatar Green Building Council (QGBC).     ,"    1- التعرف إلى أهم خصائص المواد الخضراء.
<br>2-
التعرف إلى أفضل الممارسات بما يخص توصيف وعطاءات المواد الخضراء.
<br>
3-
معرفة نقاط أنظمة تقييم الأبنية الخضراء الخاصة بالمواد الخضراء ومتطلباتها وأهدافها.
<br>
4- 
التخطيط لتوثيق الشهادات ومعرفة الاعتبارات والمتطلبات الأساسية.
 
 ","    1- Define and understand the main attributes that define a green material.
<br>

2-Identify the best practices for specifying and procuring green material.
<br>

3-Understand the material related credits, requirements and intents.
<br>

4- Plan for key considerations and requirements for certification documentation  
",  ,https://www.palgbc.org/img/logo1.png,1
تدريب الريادة في تصميمات الطاقة والبيئة: المستوى الأول, LEED General Assembly (GA)  ,"يهدف التدريب إلى التعريف ببالنسخة الرابعة من نظام تقييم الأبنية الخضراء ""الريادة في تصميمات الطاقة والبيئة- LEED""، وعملية الحصول على الشهادات. بالإضافة إلى التعرف إلى المحاور البيئية للنظام/ أهداف تخضير المباني، الطرق والاعتبارات البيئية من خلال عرض أمثلة واقعية. يستعرض التدريب أيضاً مبادئ مهمة وقواعد وحوافز تخص النظام وكيفية حصول المبنى على الشهادة.
","This course provides a detailed review of sustainable building and the LEED v4 Rating System and certification process. Using the credit category structure of LEED, sustainable building goals, strategies and measurements are presented and analyzed through numerous real-world examples. Important terms and concepts are defined and regulations and incentives related to each credit category are discussed.",مجلس قطر للأبنية الخضراء.,Qatar Green Building Council (QGBC).,عبر منصة زوم الإلكترونية.,Via Zoom portal., 3 ساعات تدريبية لكل لقاء, 3 training hours per meeting. ,2021-05-23,"المهندسين أو مدراء المرافق وغيرهم.
","Individuals interested in green building industries and/or LEED certificates including, but not limited to, engineers and facility managers.",مجلس قطر للأبنية الخضراء.,Qatar Green Building Council (QGBC). ," 
1- 
التعرف إلى هيكلية نظام ""الريادة في تصميمات الطاقة والبيئة"" وعملية التسجيل وترخيص الأبنية.
<br>
2-
التعرف إلى التغييرات الطارئة على النسخة الرابعة من النظام
<br>
3-
التعرف إلى أهم مبادئ الأبنية الخضراء وربطها مع نقاط نظام الريادة في تصميمات الطاقة والبيئة
<br>
4-
التعرف إلى أنجح الطرق والاستراتيجيات للنظام لتحقيق الأهداف
<br>
5-
أهمية دور التصميم المتكامل والتكاملية بين محاور نظام الريادة في تصميمات الطاقة والبيئة
<br>
6-
الخطوات العملية للتقديم امتحان المستوى الأول من الريادة في تصميمات الطاقة والبيئة.
","1- Describe the structure of the LEED rating system and the overall LEED certification process

<br>
2- Understand major changes in the LEED v4
<br>


3- Describe key green building concepts and goals associated with LEED
<br>

4- Recognize successful LEED strategies and measurements for achieving goals
<br>
5- 
Describe the central role of integrative design
<br>
6- 
Identify and explain synergies between LEED credit categories and strategies
<br>
7- 
Outline the process for achieving a LEED GA credential
",,https://www.palgbc.org/img/logo1.png,1
تدريب التحضيري لامتحان المستوى الثاني من الريادة في تصميمات الطاقة والبيئة للأبنية القائمة,"LEED Operation & Maintenance (O&M) 
","يركز التدريب على فهم الخيارات المتاحة للشهادة مع متطلباتها وأفضل الممارسات للوصول إلى تشغيل مستدام للأبنية. مع الأخذ بعين الاعتبار على استخدام برنامج آرك في نمذجة التشغيل والصيانة للمباني القائمة والذي يساعد في تحسين التواصل بين مالك المبنى وإدارة المبنى لتحسين استدامته باستمرار من خلال مراقبة الطاقة والمياه والنفايات والمواصلات والأشخاص مستخدمي البناء.
علماً أن فريق التشغيل والصيانة للمباني لديهم الخيارين للحصول على علامات الشهادة إما بالطريقة التقليدية (من خلال نظام النقاط) أو باستخدام النقاط على أساس الأداء. يساعد هذا التدريب المتدربات/ين على اتخاذ القرار المناسب في مشاريعهم القادمة بهذا الخصوص.
","focuses on understanding certification options, scoring and data requirements, best practices for sustainable operations, and the benefits of the two approaches to LEED O+M. The Performance Score approach to LEED O+M utilizes the Arc platform, a simple yet powerful tool to engage building owners, managers and occupants in optimizing building sustainability on an ongoing basis by monitoring energy, water, waste, transportation and human experience.
Projects teams now have the option to pursue LEED O+M via a traditional, credit-based approach or this new, Performance Score based approach. This workshop will equip attendees to make informed decisions about the best approach for their next LEED O+M project and prepare them to execute on either option.
",مجلس قطر للأبنية الخضراء.,Qatar Green Building Council (QGBC). ,عبر منصة زوم., Via Zoom. ,3 ساعات تدريبية لكل لقاء.,3 training hours per day.,2021-04-20,"مهندسي الصيانة والتشغيل للمباني، مدراء المرافق.
","Operation & Maintenance Engineers, and facility managers.
",مجلس قطر للأبنية الخضراء.,Qatar Green Building Council (QGBC). ,"1-
التعريف بالطريقتين لإدارة المبنى والحصول على نقاط شهادة الريادة في تصميمات الطاقة والبيئة للمباني القائمة، مع بيان مميزات كل طريقة وأوجه الاختلاف.
<br>
2-
مناقشة كيف يمكن للمشروع تحقيق نقاط من خلال برنامج آرك (Arc).
<br>
3-
قائمة المتطلبات لكل من الطريقة التقليدية والحديثة للحصول على شهادة الريادة في تصميمات الطاقة والبيئة للمباني القائمة.
<br>
4-
التعرف إلى أهداف ومتطلبات كل واحدة من متطلبات نظام الشهادة.
","1- Describe the two pathways to LEED O+M certification and recertification for existing buildings, as well as the benefits and differences between them

<br>
2-
Discuss how projects establish a Performance Score in Arc
<br>
3-
List the requirements for both a credit-based path and a Performance Score based path to LEED O+M Certification

<br>
4-
Identify the intent and requirements of key LEED prerequisites and credits for successful certification
",,https://www.palgbc.org/img/logo1.png,1
تدريب نمذجة وتحليل أعمال الطاقة,Energy Modelling training ,"يهدف التدريب إلى التعريف بالمبادئ النظرية والعملية الخاصة بنمذجة وتحليل أعمال الطاقة، والتعرف على استخدام برنامج (eQuest) لنمذجة الطاقة
","This training includes both theoretical and practical sections regarding Energy Modeling and Simulation, the practical part will be based on eQuest software.",د. محمد السيد.  , Dr. Mohammad Al-Sayyed. ,رام الله - فندق الكرمل,Ramallah- Carmel Hotel. ,6 ساعات تدريبية لكل لقاء.,6 training hours per day.,2021-06-01,"فنيي ومهندسي تخصصات الطاقة والكهرباء
","Electrical and power engineers and technicians.
",,,"1-
التعرف إلى المبادئ الرياضية حول نمذجة الطاقة

<br>
2-
نظم استهلاك الطاقة ونماذجها في المباني
<br>
3-
التدريب على استخدام برنامج (eQuest) لنمذجة الطاقة
<br>
4-
تطبيق عملي لحالات دراسية باستخدام البرنامج
","1-Principles of mathematical modeling
<br>

2-
Energy consumption systems and models in buildings
<br>
3-
Training on simulation energy consumption systems using eQuest software
<br>
4-
Case studies to be simulated by trainees
",,https://www.palgbc.org/img/logo1.png,1
تدريب تقييم الأثر البيئي ,"Environmental Impact Assessment Training 
","يهدف التدريب إلى التعريف بتقييم الأثر البيئي والإجراءات الرسمية المتخذة مع سلطة جودة البيئة لترخيص المنشآت الصناعية. 
","This training aims to introduce fundamentals of Environmental Impact Assessment (EIA), and procedures with Environmental Quality Authority (EQA) for licensing.",سلطة جودة البيئة الفلسطينية. ,"Environmental Quality Authority (EQA)
", فندق الكرمل في رام الله. ,"Carmel Hotel, Ramallah. ",6 ساعات تدريبية. , 6 training hours. ,2021-06-23,"المهتمين بالقطاع البيئي للحصول على موافقة سلطة جودة البيئة كمتطلب أساسي لترخيص المنشآت الصناعية محلياً.
",Interested in the environmental field to license industrial facilities with the Environmental Quality Authority (EQA).,"سلطة جودة البيئة الفلسطينية.
","Environmental Quality Authority (EQA)
","1- لتعريف بتقييم الأثر البيئي
 <br>2-
كيفية تحديد الأضرار البيئية المتوقعة وتخفيفها خلال مراحل تصميم 
  

المشروع وتنفيذه
","1- Introduce EIA
<br>
2- How to identify the expected environmental impacts and mitigation measures during design and operation phases. 
",100 NIS. ,https://www.palgbc.org/img/logo1.png,1
دورة  فحص الجهوزية للأنظمة والأجهزة الكهربائية  ,Commissioning,يعقد التدريب للمرة الأولى في فلسطين، ويساعد على تأهيل الطواقم في قطاع البناء إلى تطوير الخدمات المقدمة من خلال تحسين أداء الأنظمة والأجهزة الكهربائية وتقليل الحاجة لصيانتها.,"For the first time in Palestine, this training is conducted to help capacities in the building industry to develop their services through system and appliances performance optimization, and maintenance reduction.",شركة Alpin لاستشارات الاستدامة والحلول المتكاملة. ,Alpin for Sustainable Consultations and Integrated ,عبر منصة زوم., Via Zoom portal. , 4 ساعات تدريبية لكل يوم.,4 training hours per day.,2021-07-12,"مهندسي وفنيي تخصصات الطاقة والكهرباء
","Electrical and Power engineers and technicians. 
",,,"

1-التعرف إلى مبادئ فحص الجهوزية القديمة والحديثة
<br>2-
استعراض أنواع فحص الجهوزية، معاييرها وخطواتها الإرشادية.
<br>3-
كيفية الفحص خلال مراحل البناء، وكيفية اختيار أفضل توقيت لإجراء الفحص.
<br> 4-
التعريف بالاعتمادات الدولية والامتحانات وكيفية التقدم
","1- Traditional and up-to-date commissioning test fundamentals.<br>

2-Review of commissioning test types, standards and instructions.  <br>

3- How to proceed the test during the construction phase and how to choose the best time for testing. <br>

 4- Introduce the international credits, Exams and how to apply.
",,https://www.palgbc.org/img/logo1.png,2
دورة التدقيق الطاقي ,Energy Audit training,يهدف التدريب إلى التعريف بأهم مبادئ التدقيق الطاقي للأبنية القائمة، والتعريف بالخطوات العملية لإنجاز التدقيق والأجهزة اللازمة. يحتوي التدريب على أيام تدريبية عملية على التدقيق الطاقي.,"This training aims to introduce the fundamentals of Energy Audit for existing buildings, practical procedure and required equipment to achieve it. The training includes 2 practical training days."," سلطة الطاقة والموارد الطبيعية الفلسطينية.
", Palestinian Energy and Natural Resources Authority (PENRA),رام الله- فندق الكرمل.," Carmet Hotel, Ramallah. ", 30 ساعة تدريبية.,30 training hours.,2021-08-01,"فنيي ومهندسي تخصصات الكهرباء والطاقة.
","Electrical and power engineers and technicians.
",سلطة الطاقة والموارد الطبيعية الفلسطينية., Palestinian Energy and Natural Resources Authority (PENRA),"1- التعريف بمبادئ التدقيق الطاقي وإدارة الطاقة.
<br>
2- منهجية التدقيق الطاقي، وجمع وتحليل البيانات.
<br>
3-
التدقيق الطاقي لأنظمة الإنارة، الأنظمة الحرارية، التكييف والتبريد، المضخات والأجهزة الكهربائية
<br>
4-
إعداد تقارير التدقيق الطاقي
<br>
5-
تطبيق عملي للتدقيق الطاقي
","1- Energy audit and energy management fundamentals.<br>

2- Energy audit methodology, data collection and analysis.<br>

3- Energy audit for lighting systems, thermal systems, HVAC systems, pumps and appliances. <br>

4- Energy audit reporting.<br>

 5- Energy audit practical training.
",,https://www.palgbc.org/img/logo1.png,1
دورة الريادة في تصميمات الطاقة والبيئة الأبنية قيد الإنشاء  ,LEED BD+C,"يهدف التدريب إلى استعراض المتطلبات الفنية للنسخة الرابعة من نظام تقييم الأبنية الخضراء ""الريادة في تصميمات الطاقة والبيئة للمباني قيد الإنشاء"". بالإضافة إلى التعرف إلى النقاط الإجبارية والاختيارية لكل واحدة من فئات الشهادة، وكيفية ملائمتها حسب نوع المشروع.
يقدم التدريب المعرفة اللازمة للتطبيق العملي الناجح للنظام من خلال التعرف إلى هدف كل واحدة من نقاط النظام ومتطلباتها ومعاييرها وتكاملها مع النقاط والفئات الأخرى. سيتم أيضاً التطرق إلى التكاملية والفروقات بين نظام الإنشاء ونظام التصميم الداخلي.
","This training will review the technical requirements of the LEED v4 Building Design and Construction rating systems (BD+C). In addition, it will cover each credit category, touch on every prerequisite and credit, and highlight differences specific to project type adaptations.
The training will provide essential knowledge for successful implementation of the rating systems by learning credit intents, key concepts, requirements, strategies, referenced standards and synergies within all credit categories. Synergies and differences for the Interior Design and Construction rating systems will also be addressed.
",مجلس قطر للأبنية الخضراء. ,Qatar Green Building Council (QGBC). ,عبر منصة زوم. ,Via Zoom portal. , 9 ساعات تدريبية,9 training hours.,2021-08-08,لمهتمين بالعمل في مجال الأبنية الخضراء و/أو الحصول على شهادة الريادة في تصميمات الطاقة والبيئة من المهندسين أو مدراء المرافق وغيرهم.," For those interested in working in the field of green buildings and engineers or facility managers and others
Aiming to obtain a certificate of Leadership in Energy and Environmental Design (LEED).",مجلس قطر للأبنية الخضراء. ,Qatar Green Building Council (QGBC). ,"1- 
التعرف إلى أهداف ومتطلبات وسياسات نجاح كل واحدة من
 نقاط النسخة الرابعة من نظام الريادة في تصميمات الطاقة والبيئة للمباني قيد الإنشاء.

<br> 2- 
التعرف إلى استراتيجيات النقاط لكل واحدة من النقاط بالإضافة لتكاملية الفئات مع بعضها.<br>

3- التخطيط للاعتبارات اللأساسية ومتطلباتها حول التوثيق للشهادة.
<br> 4-
التعرف إلى كيفية مساهمة متطلبات النقاط في تحسين أداء المبنى والتحول في السوق.<br>
5-
رسم خارطة طريق للحصول على شهادة الريادة في تصميمات الطاقة والبيئة للمباني القائمة.<br>

","1- Identify the intent, requirements, and strategies for success with LEED v4 credits in the Building Design and Construction rating systems <br>


2- Identify strategies between credits both within and between credit categories <br>
3-Plan for key considerations and requirements for LEED documentation <br>
 4- Recognize how credit requirements lead to higher performing buildings and market transformation <br>
5- Outline the process for achieving a LEED AP BD+C credential
",,https://www.palgbc.org/img/logo1.png,1
تدريب نظم إدارة البيئة آيزو, 14001  ISO 14001 Training,يهدف التدريب إلى التعريف بمبادئ نظم الإدارة البيئية، ومتطلباتها حسب نسختها الأخيرة في العام 2015، وكيفية ربطها مع سياق عمل المؤسسة/المصنع/الشركة، بناء السياسات البيئية والتخطيط لها، وتطبيقها خلال المرحلة التشغيلية للمؤسسة وتقييم الأداء والتطوير.,"This training aims to introduce fundamentals of Environmental Management Systems (ISO14001), requirements as per last version, how to link it with the context of organization/factory/company, environmental policies creation and planning, operation, performance evaluation and improvement.","مؤسسة المواصفات والمقاييس.
",Palestine Standards Institute (PSI), رام الله - فندق الكرمل,"Carmet Hotel, Ramallah. ",12 ساعة تدريبية.,12 training hours. ,2021-08-16,استشاريي نظم الإدارة في القطاع الخاص، مهندسي الجودة، مدراء المرافق.,"Management system consultants in the private sector, quality engineers, and facility managers,",مؤسسة المواصفات والمقاييس. ,Palestine Standards Institute (PSI),"1- التعرف إلى أهداف ومبادئ ومتطلبات نظم الإدارة البيئية
<br>
2- فهم سياق عمل المؤسسة لموائمتها مع متطلبات النظام
<br>
3-
التخطيط والدعم والتشغيل وتقييم الأداء والتطوير لعمل المؤسسة ضمن سياق نظم الإدارة البيئية.
","1- Introducing ISO14001 system, concepts and requirements.
<br>
2- Understanding of organizations’ context.
<br>

3- Planning, support, operation, performance evaluation, and improvement of the system within the context.
",,https://www.palgbc.org/img/logo1.png,1
تدريب خبير في نظام الأبنية الخضراء ,EDGE,"يهدف التدريب إلى خلق المعرفة والاعتماد لتكون خبير بنظام تقييم الأبنية الخضراء ""إيدج"". نظام ""إيدج"" هو نظام تقييم وتصديق للأبنية الخضراء يركز على تحسين كفاءة استهلاك المصادر في المباني، وتم تأسيسه من مؤسسة التمويل الدولية (وهي عضو مجموعة البنك الدولي).
","This training provides knowledge and certifies trainers to be EDGE experts. EDGE is a Green Building Certification System that focuses on making buildings more resource efficient, it is created by the IFC (International
Finance Corporation), a member of the World Bank
Group.
",م. ميسون خريسات ," Eng. Maysoon Khraisat 
",عبر منصة زوم. ,Via Zoom., 9 ساعات تدريبية. , 9 training hours. ,2021-09-01,"المهتمين في قطاع الأبنية الخضراء، وطلبات تمويل المشاريع من البنك الدولي.
","Those who are interested in green buildings, World 
Bank project accreditation for fundraising. 
",,,"1- التطرق إلى نظام ""إيدج"" وعمليات التصديق.
<br>

2- تعلم كيفية إجراء التقييم باستخدام برنامج إيدج.
<br> 3-
التعرف إلى استراتيجيات كفاءة المياه والطاقة والموارد وأثرها على تقليل التكاليف وأداء المبنى.
<br>
4-
تعلم أفضل الممارسات حول إيجاد نظام إيدج في السوق المحلي
<br>
5-
التعرف إلى نموذج الامتحان والمواد الدراسية للنجاح في الامتحان كخبير.
","1- Gain an overview of EDGE and the certification process.
<br>

2- Learn how to complete a self-assessment using the EDGE software.
<br>

3- Understand how energy, water, and materials efficiency strategies impact cost, savings, and building performance.
<br>

4- Learn best practices around bringing EDGE to the market.
<br>

5- Get to know the Exam format and what material is required for passing the EDGE Expert exam.
",,https://www.palgbc.org/img/logo1.png,1
