parent_tag_en,parent_tag_ar,child_tag_en,child_tag_ar,question_ar,question_en,answer_ar,answer_en
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,التصميم المستدام للمبنى,Building Sustainable Design,"يمكن أن يساهم التصميم الذكي للمبنى بتقليل استهلاك الطاقة بشكل كبير. علماً أن التكلفة الأولية قد تكون أعلى من التصميم العادي، لكنه سيكون مجدي على المدى المتوسط والبعيد وذلك من خلال تقليل فواتير الكهرباء.
","Sustainable and smart design can save energy consumption in the building. Hence, the initial cost might be higher than traditional buildings, but it’s feasible on the medium and long run through energy savings over the years.
"
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,تقليل استهلاك المكيف للطاقة,Air conditioner energy consumption reduction,"يمكن تقليل الطاقة التي يستهلكها المكيف من خلال الممارسات التالية:
1. 	التحكم بدرجات الحرارة، تقليل درجة الحرارة درجتين شتاءً ورفعها درجتين صيفاً يمكن أن يساهم في تخفيض فاتورة الكهرباء.
2. 	تركيب مكيف ذو كفاءة عالية بحيث لا يحتوي على نسبة تسريب أكثر من 10%، مع قنوات (ducts) مستقيمة وقصيرة قدر الإمكان.","You can save energy consumed by air conditioner through the following practices:
Temperature control; increase the temperature 2 degrees in summer and decrease it in winter can save energy and lower your bill.
Use high efficiency air conditioners which have leakage percentage less than 10%, with short and straight ducts as possible.
"
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,هل من المجدي تركيب خلايا شمسية؟,Is it feasible to install solar panels?,"تعد الخلايا الشمسية إحدى أنظمة الطاقة المتجددة، واستخدامها يساعد في توفير نسبة تصل إلى 50% من استهلاك الطاقة. أما على الصعيد الاقتصادي، فتعتبر فترة استرداد رأس المال قصيرة. 
","Solar panels are one of the renewable energy sources, using it can save your energy consumption up to 50%. Economic-wise, the pay-back period (ROI) is short."
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,هل من المجدي تركيب خلايا شمسية؟,Is it feasible to install solar panels?,"تعد الخلايا الشمسية إحدى أنظمة الطاقة المتجددة، واستخدامها يساعد في توفير نسبة تصل إلى 50% من استهلاك الطاقة. أما على الصعيد الاقتصادي، فتعتبر فترة استرداد رأس المال قصيرة. 
","Solar panels are one of the renewable energy sources, using it can save your energy consumption up to 50%. Economic-wise, the pay-back period (ROI) is short."
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,كيف تؤثر الشبابيك على فاتورة الكهرباء؟,How can your windows affect your electricity bills,تساهم الشبابيك في تسريب الطاقة بين داخل وخارج المبنى، مما يساهم في زيادة الحمل الكهربائي على أنظمة التكييف والتبريد. لتقليل فاتورة الكهرباء يجب استخدام شبابيك ذات كفاءة عالية من خلال استخدام الشبابيك المزدوجة (double glass) وإغلاق الثغرات حول الشبابيك.,"Windows are a main source of energy transfer between inside and outside the building (infiltration), which increases the energy load of air conditioners. To reduce your electric bills you have to install high efficiency windows (double glass) and close gaps in between windows and walls."
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,كيف تؤثر الشبابيك على فاتورة الكهرباء؟,How can your windows affect your electricity bills,تساهم الشبابيك في تسريب الطاقة بين داخل وخارج المبنى، مما يساهم في زيادة الحمل الكهربائي على أنظمة التكييف والتبريد. لتقليل فاتورة الكهرباء يجب استخدام شبابيك ذات كفاءة عالية من خلال استخدام الشبابيك المزدوجة (double glass) وإغلاق الثغرات حول الشبابيك.,"Windows are a main source of energy transfer between inside and outside the building (infiltration), which increases the energy load of air conditioners. To reduce your electric bills you have to install high efficiency windows (double glass) and close gaps in between windows and walls."
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,كيف أقوم بتخفيض فاتورة الكهرباء من خلال الشبابيك؟,How can I reduce my electric bills through buildin,ضمان انسداد فتحات الشبابيك والأبواب يساعد في توفير الطاقة بنسبة تصل من 15-20%. وذلك من خلال استخدام مواد لإغلاق التشققات والفتحات يمكن الحصول عليها من محلات مواد البناء.,Making sure that the gaps between the window and wall are closed can save your energy between 15-20%. You can do it using special material to close boreholes from any construction material store.
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,كيف يمكن حل مشكلة زيادة في فاتورة الكهرباء أو الاستهلاك المفرط للطاقة؟,How to solve high electric bills or over-consumption of energy?,"	من خلال الاعتماد على الإضاءة الطبيعية، حيث أن الإضاءة الصناعية مسئولة عن 40% من استهلاك الطاقة (خاصة في المكاتب)، تعوّد على إطفاء الأنوار عندما تخرج من الغرفة لمدة تزيد عن 15 دقيقة.
·   	فصل الأجهزة الكهربائية غير المستخدمة لأن بعضها قد يستهلك طاقة حتى لو كانت غير مستخدمة.
·       الاعتماد على عداد الكهرباء مسبق الدفع يساعد في مراقبة استهلاك الكهرباء وتقليله.
","Using natural lights: using artificial lights can consume 40% of the energy (specially office spaces). Make sure to turn off the lights when you’re out of the space for longer than 15 minutes.
Disconnect your appliances to electricity when you don’t use it, some appliances consume energy when connected to electrical current even during the sleeping mood. 
Using pre-paid meters help to control and reduce energy consumption. 
"
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,كيف يمكن حل مشكلة زيادة في فاتورة الكهرباء أو الاستهلاك المفرط للطاقة؟,How to solve high electric bills or over-consumption of energy?,"	من خلال الاعتماد على الإضاءة الطبيعية، حيث أن الإضاءة الصناعية مسئولة عن 40% من استهلاك الطاقة (خاصة في المكاتب)، تعوّد على إطفاء الأنوار عندما تخرج من الغرفة لمدة تزيد عن 15 دقيقة.
·   	فصل الأجهزة الكهربائية غير المستخدمة لأن بعضها قد يستهلك طاقة حتى لو كانت غير مستخدمة.
·       الاعتماد على عداد الكهرباء مسبق الدفع يساعد في مراقبة استهلاك الكهرباء وتقليله.
","Using natural lights: using artificial lights can consume 40% of the energy (specially office spaces). Make sure to turn off the lights when you’re out of the space for longer than 15 minutes.
Disconnect your appliances to electricity when you don’t use it, some appliances consume energy when connected to electrical current even during the sleeping mood. 
Using pre-paid meters help to control and reduce energy consumption. 
"
Existing buildings,مباني قائمة,Energy saving-existing buildings,توفير الطاقة-مباني قائمة,هل تواجه مشكلة طول انتظار تسخين المياه في الشتاء؟,Do you wait long for water heating in winter?,الاعتماد على عزل أنابيب المياه يحافظ على سخونة المياه لأطول فترة ممكنة ويقلل في تقليل فاتورة الكهرباء من خلال تقليل استهلاك الطاقة اللازمة لتسخين المياه,Considering pipe thermal insulation can save the energy in water for a longer time and reduce your electric bills through reducing required energy for water heating. 
