name_ar,name_en,about_en,about_ar,location_ar,location_en,contact_info,phone,webiste,img
NDC,"NDC
","National policy document
(EQA)
","National policy document
(EQA)
","الضفة الغربية
و غزة
","West Bank
& gaza
",n72065@hotmail.com,599201541,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/State%20of%20Palestine%20First/Updated%20NDC_%20State%20of%20Palestine_2021_FINAL.pdf,https://palgbc.org/img/entrepreneurs/10.jpg
B-Hub Birzeit University,,"
The B-Hub was established in 2017 to address the most critical problems facing the local economy - unsustainable small businesses, damaging social and environmental practices, and high unemployment rates among Palestinian youth. The B-Hub serves local small companies with focus on manufacturing, agro-tech, IT, and tourism industries. The companies are being served until they resolve their business and technical problems (e.g., development of new chemical formulas for products; enhancing production process; introducing green production and management techniques; development of a new business strategy, etc).  The B-Hub also serves startups –from any industry and owned by entrepreneurs of any ages. 
In the past 4 years, the B-Hub has served about 200 companies and more than 300 startups. 



","
أسست B-Hub عام 2017 بهدف تحديد المشاكل التي تواجه الاقتصاد المحلي- عدم استدامة الأعمال الصغيرة والممارسات التي تضر المجتمع والبيئة بالإضافة لارتفاع نسبة البطالة بين الشباب الفلسطيني. تخدم المؤسسة الشركات الصغيرة المحلية مع التركيز على قطاعات التصنيع، التقنيات الزراعية، تكنولوجيا المعلومات والسياحة. تتم خدمة هذه الشركات لحين ضمان حل مشكلات الأعمال والتقنيات التي تواجهها (مثل تطوير صيغة كيميائية لمنتج، تحسين عملية إنتاجية، إدخال منتج صديق للبيئة وإدارة تقنيات جديدة وغيرها). تخدم المؤسسة أيضاً الشركات الناشئة - من جميع القطاعات وتعود ملكيتها للمبادرين من جميع الأعمار-. خلال السنوات الأربعة الماضية عملت المؤسسة على مساعدة ما يزيد عن 200 شركة و300 شركة ناشئة. 
للمزيد من المعلومات: 
https://www.birzeit.edu/en/b-hub 

", الضفة الغربية, West Bank,obatran@birzeit.edu,,,https://www.palgbc.org//img/unnamed1.png
معهد فلسطين للتنوع الحيوي والإستدامة,"
Palestine Institute for Biodiversity and SustainabilityGate

","Largely through voluntary efforts and local donations, the Palestine Institute for Biodiversity and Sustainability, the Palestine Museum of Natural History and the Ecological Botanic Gardens were established at Bethlehem University in 2014. Our motto is Respect - First for ourselves, then for others, then for the environment. Our vision is for sustainable human and natural societies: enabling responsible human interactions with all components of our environment to promote a sustainable ecosystem. Our mission is to research, educate and preserve our natural world, culture and heritage, and to promote responsible human interactions with our environment.
","من خلال الجهود التطوعية والتبرعات المحلية إلى حد كبير، تم إنشاء معهد فلسطين للتنوع البيولوجي والاستدامة، ومتحف فلسطين للتاريخ الطبيعي والحدائق النباتية البيئية في جامعة بيت لحم في عام 2014. شعارنا الاحترام- أولاً لأنفسنا، ثم للآخرين، ثم للبيئة. رؤيتنا هي لمجتمعات بشرية وطبيعية مستدامة: تمكين التفاعلات البشرية المسؤولة مع جميع مكونات بيئتنا لتعزيز نظام بيئي مستدام. مهمتنا البحث والتثقيف حول عالمنا الطبيعي وثقافتنا وتراثنا والحفاظ عليها وتعزيز التفاعلات البشرية المسؤولة مع بيئتنا. ننشر البحوث والمعرفة حول الحيوان والنبات والإثنوغرافيا البشرية في فلسطين. ونعزز حماية البيئة والتفاعل المسؤول بين الناس والبيئة، بما في ذلك التراث الثقافي. تستخدم نتائج البحوث في مجالات مثل التنوع البيولوجي والتاريخ والثقافة والزراعة المستدامة والمراقبة البيولوجية لتعزيز المجتمعات المستدامة، مع التركيز على المجتمعات المهمشة.
","
الضفة الغربية

","West Bank
","mazin@palestinenature.org
",598939532,http://palestinenature.org,https://palgbc.org/img/entrepreneurs/4.jpg
معهد فلسطين للتنوع الحيوي والإستدامة,"Palestine Institute for Biodiversity and SustainabilityGate
","Largely through voluntary efforts and local donations, the Palestine Institute for Biodiversity and Sustainability, the Palestine Museum of Natural History and the Ecological Botanic Gardens were established at Bethlehem University in 2014. Our motto is Respect - First for ourselves, then for others, then for the environment. Our vision is for sustainable human and natural societies: enabling responsible human interactions with all components of our environment to promote a sustainable ecosystem. Our mission is to research, educate and preserve our natural world, culture and heritage, and to promote responsible human interactions with our environment.
","من خلال الجهود التطوعية والتبرعات المحلية إلى حد كبير، تم إنشاء معهد فلسطين للتنوع البيولوجي والاستدامة، ومتحف فلسطين للتاريخ الطبيعي والحدائق النباتية البيئية في جامعة بيت لحم في عام 2014. شعارنا الاحترام- أولاً لأنفسنا، ثم للآخرين، ثم للبيئة. رؤيتنا هي لمجتمعات بشرية وطبيعية مستدامة: تمكين التفاعلات البشرية المسؤولة مع جميع مكونات بيئتنا لتعزيز نظام بيئي مستدام. مهمتنا البحث والتثقيف حول عالمنا الطبيعي وثقافتنا وتراثنا والحفاظ عليها وتعزيز التفاعلات البشرية المسؤولة مع بيئتنا. ننشر البحوث والمعرفة حول الحيوان والنبات والإثنوغرافيا البشرية في فلسطين. ونعزز حماية البيئة والتفاعل المسؤول بين الناس والبيئة، بما في ذلك التراث الثقافي. تستخدم نتائج البحوث في مجالات مثل التنوع البيولوجي والتاريخ والثقافة والزراعة المستدامة والمراقبة البيولوجية لتعزيز المجتمعات المستدامة، مع التركيز على المجتمعات المهمشة.
","
الضفة الغربية

","West Bank
",mazin@palestinenature.org,598939532,http://palestinenature.org,https://palgbc.org/img/entrepreneurs/4.jpg
B-Hub Birzeit University,B-Hub Birzeit University,"
The B-Hub was established in 2017 to address the most critical problems facing the local economy - unsustainable small businesses, damaging social and environmental practices, and high unemployment rates among Palestinian youth. The B-Hub serves local small companies with focus on manufacturing, agro-tech, IT, and tourism industries. The companies are being served until they resolve their business and technical problems (e.g., development of new chemical formulas for products; enhancing production process; introducing green production and management techniques; development of a new business strategy, etc).  The B-Hub also serves startups –from any industry and owned by entrepreneurs of any ages. 
In the past 4 years, the B-Hub has served about 200 companies and more than 300 startups. 



","
أسست B-Hub عام 2017 بهدف تحديد المشاكل التي تواجه الاقتصاد المحلي- عدم استدامة الأعمال الصغيرة والممارسات التي تضر المجتمع والبيئة بالإضافة لارتفاع نسبة البطالة بين الشباب الفلسطيني. تخدم المؤسسة الشركات الصغيرة المحلية مع التركيز على قطاعات التصنيع، التقنيات الزراعية، تكنولوجيا المعلومات والسياحة. تتم خدمة هذه الشركات لحين ضمان حل مشكلات الأعمال والتقنيات التي تواجهها (مثل تطوير صيغة كيميائية لمنتج، تحسين عملية إنتاجية، إدخال منتج صديق للبيئة وإدارة تقنيات جديدة وغيرها). تخدم المؤسسة أيضاً الشركات الناشئة - من جميع القطاعات وتعود ملكيتها للمبادرين من جميع الأعمار-. خلال السنوات الأربعة الماضية عملت المؤسسة على مساعدة ما يزيد عن 200 شركة و300 شركة ناشئة. 
للمزيد من المعلومات: 
https://www.birzeit.edu/en/b-hub 

", الضفة الغربية, West Bank,obatran@birzeit.edu,,,https://www.palgbc.org//img/unnamed1.png
B-Hub Birzeit University,B-Hub Birzeit University,"
The B-Hub was established in 2017 to address the most critical problems facing the local economy - unsustainable small businesses, damaging social and environmental practices, and high unemployment rates among Palestinian youth. The B-Hub serves local small companies with focus on manufacturing, agro-tech, IT, and tourism industries. The companies are being served until they resolve their business and technical problems (e.g., development of new chemical formulas for products; enhancing production process; introducing green production and management techniques; development of a new business strategy, etc).  The B-Hub also serves startups –from any industry and owned by entrepreneurs of any ages. 
In the past 4 years, the B-Hub has served about 200 companies and more than 300 startups. 



","
أسست B-Hub عام 2017 بهدف تحديد المشاكل التي تواجه الاقتصاد المحلي- عدم استدامة الأعمال الصغيرة والممارسات التي تضر المجتمع والبيئة بالإضافة لارتفاع نسبة البطالة بين الشباب الفلسطيني. تخدم المؤسسة الشركات الصغيرة المحلية مع التركيز على قطاعات التصنيع، التقنيات الزراعية، تكنولوجيا المعلومات والسياحة. تتم خدمة هذه الشركات لحين ضمان حل مشكلات الأعمال والتقنيات التي تواجهها (مثل تطوير صيغة كيميائية لمنتج، تحسين عملية إنتاجية، إدخال منتج صديق للبيئة وإدارة تقنيات جديدة وغيرها). تخدم المؤسسة أيضاً الشركات الناشئة - من جميع القطاعات وتعود ملكيتها للمبادرين من جميع الأعمار-. خلال السنوات الأربعة الماضية عملت المؤسسة على مساعدة ما يزيد عن 200 شركة و300 شركة ناشئة. 
للمزيد من المعلومات: 
https://www.birzeit.edu/en/b-hub 

", الضفة الغربية, West Bank,obatran@birzeit.edu,,,https://www.palgbc.org//img/unnamed1.png
NDC,NDC,"National policy document
(EQA)
","National policy document
(EQA)
","الضفة الغربية
و غزة
","West Bank
& gaza
","n72065@hotmail.com
",599201541,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/State%20of%20Palestine%20First/Updated%20NDC_%20State%20of%20Palestine_2021_FINAL.pdf,https://palgbc.org/img/entrepreneurs/10.jpg
"يو ميك
","
uMake

","We are an entrepreneurship support organisation that helps entrepreneurs and startups across Palestine, by ensuring they have equitable access to the resources and opportunities they need to start and grow their businesses. We work in different domains; 
Startup Programs 
1.Pre-Seed Startup Accelerator
2.Investment Readiness Program
3.Organizing Startup Weekend 
Community Building Activities 
1.Community Events and Workshops 
2.Cobinar
3.Networking Services 
Co-working Space 
The space includes dedicated and flexible desks, meeting rooms, digital equipment, and a network of professionals to help its members work towards their goals. 
 Additional Business Services 
Virtual Events Management Services & Business Development Services.
","نحن منظمة لدعم ريادة الأعمال تساعد رواد الأعمال والشركات الناشئة في جميع أنحاء فلسطين ، من خلال ضمان حصولهم على وصول عادل إلى الموارد والفرص التي يحتاجون إليها لبدء أعمالهم وتنميتها. نحن نعمل في مجالات مختلفة.

برامج المشاريع الناشئة
1- مسرع المسبق pre-seed
2- برنامج الجاهزية الاستثمارية
3. تنظيم Startup Weekend
أنشطة بناء المجتمع
1. الأحداث المجتمعية وورش العمل
2- كوبينار
3. خدمات الشبكات
ساحة للعمل الجماعي
تتضمن المساحة مكاتب مخصصة ومرنة ، وغرف اجتماعات ، ومعدات رقمية ، وشبكة من المحترفين لمساعدة أعضائها على العمل لتحقيق أهدافهم.
 خدمات الأعمال الإضافية
خدمات إدارة الأحداث الافتراضية وخدمات تطوير الأعمال.
","الضفة الغربية
و غزة
","West Bank
& gaza
","Daoud@umake.space
",+972 598 876 876,https://umake.space/,https://palgbc.org/img/entrepreneurs/11.jpg
"يو ميك
","
uMake

","We are an entrepreneurship support organisation that helps entrepreneurs and startups across Palestine, by ensuring they have equitable access to the resources and opportunities they need to start and grow their businesses. We work in different domains; 
Startup Programs 
1.Pre-Seed Startup Accelerator
2.Investment Readiness Program
3.Organizing Startup Weekend 
Community Building Activities 
1.Community Events and Workshops 
2.Cobinar
3.Networking Services 
Co-working Space 
The space includes dedicated and flexible desks, meeting rooms, digital equipment, and a network of professionals to help its members work towards their goals. 
 Additional Business Services 
Virtual Events Management Services & Business Development Services.
","نحن منظمة لدعم ريادة الأعمال تساعد رواد الأعمال والشركات الناشئة في جميع أنحاء فلسطين ، من خلال ضمان حصولهم على وصول عادل إلى الموارد والفرص التي يحتاجون إليها لبدء أعمالهم وتنميتها. نحن نعمل في مجالات مختلفة.

برامج المشاريع الناشئة
1- مسرع المسبق pre-seed
2- برنامج الجاهزية الاستثمارية
3. تنظيم Startup Weekend
أنشطة بناء المجتمع
1. الأحداث المجتمعية وورش العمل
2- كوبينار
3. خدمات الشبكات
ساحة للعمل الجماعي
تتضمن المساحة مكاتب مخصصة ومرنة ، وغرف اجتماعات ، ومعدات رقمية ، وشبكة من المحترفين لمساعدة أعضائها على العمل لتحقيق أهدافهم.
 خدمات الأعمال الإضافية
خدمات إدارة الأحداث الافتراضية وخدمات تطوير الأعمال.
","الضفة الغربية
و غزة
","West Bank
& gaza
","Daoud@umake.space
",+972 598 876 876,https://umake.space/,https://palgbc.org/img/entrepreneurs/11.jpg
"يو ميك
","
uMake

","We are an entrepreneurship support organisation that helps entrepreneurs and startups across Palestine, by ensuring they have equitable access to the resources and opportunities they need to start and grow their businesses. We work in different domains; 
Startup Programs 
1.Pre-Seed Startup Accelerator
2.Investment Readiness Program
3.Organizing Startup Weekend 
Community Building Activities 
1.Community Events and Workshops 
2.Cobinar
3.Networking Services 
Co-working Space 
The space includes dedicated and flexible desks, meeting rooms, digital equipment, and a network of professionals to help its members work towards their goals. 
 Additional Business Services 
Virtual Events Management Services & Business Development Services.
","نحن منظمة لدعم ريادة الأعمال تساعد رواد الأعمال والشركات الناشئة في جميع أنحاء فلسطين ، من خلال ضمان حصولهم على وصول عادل إلى الموارد والفرص التي يحتاجون إليها لبدء أعمالهم وتنميتها. نحن نعمل في مجالات مختلفة.

برامج المشاريع الناشئة
1- مسرع المسبق pre-seed
2- برنامج الجاهزية الاستثمارية
3. تنظيم Startup Weekend
أنشطة بناء المجتمع
1. الأحداث المجتمعية وورش العمل
2- كوبينار
3. خدمات الشبكات
ساحة للعمل الجماعي
تتضمن المساحة مكاتب مخصصة ومرنة ، وغرف اجتماعات ، ومعدات رقمية ، وشبكة من المحترفين لمساعدة أعضائها على العمل لتحقيق أهدافهم.
 خدمات الأعمال الإضافية
خدمات إدارة الأحداث الافتراضية وخدمات تطوير الأعمال.
","الضفة الغربية
و غزة
","West Bank
& gaza
","Daoud@umake.space
","+972 598 876 876
",https://umake.space/,https://palgbc.org/img/entrepreneurs/11.jpg
