title,content,publish_date,panel,post_meta:location,post_meta:link,img
اتفاقية تفاهم بلدية بيتونيا,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع  بلدية بيتونيا. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد ربحي دولة رئيس بلدية بيتونيا وم. وجدان الشريف المديرة التنفيذية للمجلس.
",2021-10-19,2,رام الله- بيتونيا,,https://www.palgbc.org/img/news/news31.jpg
اتفاقية تفاهم بلدية عجة,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية عجة. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد ناصر عوني معالي رئيس بلدية عجة و م. وجدان الشريف المديرة التنفيذية للمجلس الفلسطيني للأبنية الخضراء.
 
",2021-12-01,2,رام الله-  عجة,,https://www.palgbc.org/img/news/news38.jpg
اتفاقية تفاهم بلدية يطا ,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية يطا. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد عيسى سميرات رئيس بلدية يطا وم. وجدان الشريف المديرة التنفيذية للمجلس.

",2021-08-02,2, يطا- رام الله,,https://www.palgbc.org/img/news/news33.jpg
اتفاقية تفاهم بلدية برطعة ,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية برطعة. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد غسان قبها رئيس بلدية برطعة و م. وجدان الشريف المديرة التنفيذية للمجلس.
",2021-01-01,2,برطعة- رام الله,,https://www.palgbc.org/img/news/news34.jpg
توقيع اتفاقية تفاهم مع بلدية بيت جالا,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية بيت جالا يوم السبت الموافق 7 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء وتعنى الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد نقولا خميس رئيس بلدية بيت جالا بحضور م. حنين داود منسقة المشروع والسيدة غادة نصر الله مديرة العلاقات العامة للبلدية.
",2021-08-07,2,رام الله - بيت جالا ,,https://www.palgbc.org/img/news/news24.jpg
اتفاقية تفاهم بلدية العيزرية,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع  بلدية العيزرية. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد عصام فرعون رئيس بلدية العيزرية وم. وجدان الشريف المديرة التنفيذية للمجلس.
",2021-10-01,2,رام الله- العيزرية,,https://www.palgbc.org/img/news/news30.jpg
 توقيع اتفاقية تفاهم مع بلدية خان يونس,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية خانيونس يوم الثلاثاء الموافق 3 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء وتعنى الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد علاء الدين البطة رئيس بلدية خانيونس بحضور م. حنين داود منسقة المشروع و عماد الأغا مدير العلاقات العامة للبلدية والطاقم الهندسي للبلدية.
",2021-08-03,2,رام الله - خانيونس,,https://www.palgbc.org/img/news/news23.jpg
عقد دورة تصنيف المواد الخضراء ,"عقد المجلس الفلسطيني للأبنية الخضراء دورته التدريبية الأولى من نوعها في فلسطين تحت عنوان ""مواد البناء الخضراء"" ضمن مشروع ""تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء"". يأتي التدريب بالتعاون مع مجلس قطر للمباني الخضراء وبتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تم تنفيذ الدورة خلال لقاءين في يومي الاثنين والأربعاء الموافق 26 و28 نيسان 2021 عبر منصة زوم الإلكترونية (zoom) .
تعد هذه الدورة الخطوة الأولى، للبدء بنشر ثقافة فكرة الأبنية الخضراء على مستوى المؤسسات العامة.  اشتملت الدورة على تعريف بالمواد الخضراء وتوصيفها في الوثائق الخاصة بالعطاءات.
شارك في الدورة 25 متدرب من مجموعة من المؤسسات العامة المحلية. 
",2021-04-28,2,فلسطين- قطر ,,https://www.palgbc.org/img/news/news13.jpg
عقد الدورة التحضيري لامتحان المستوى الأول من الريادة في تصميمات الطاقة والبيئةعقد الدورة التحضيري لامتحان المستوى الأول من الريادة في تصميمات الطاقة والبيئة,"عقد المجلس الفلسطيني للأبنية الخضراء الدورة التحضيرية لامتحان المستوى الأول من الريادة في تصميمات الطاقة والبيئة LEED GA بالتعاون مع مجلس قطر للمباني الخضراء عبر منصة زوم الإلكترونية (ZOOM)، وذلك خلال الأيام 23، 25 و27 من شهر أيار 2021.
تناول التدريب التعريف بمبادئ الأبنية الخضراء ومحاور تخضير المباني، بالإضافة لنصائح لتقديم الامتحان الدولي الخاص بالأبنية الخضراء. من الجدير ذكره أن التدريب جاء ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.
",2021-05-27,2,فلسطين - قطر,,https://www.palgbc.org/img/news/news14.jpg
عقد الدورة التحضيرية لامتحان المستوى الريادة في تصميمات الطاقة والبيئة: المباني القائمة,"عقد المجلس الفلسطيني للأبنية الخضراء الدورة التحضيرية لامتحان المستوى الثاني من الريادة في تصميمات الطاقة والبيئة LEED O+M بالتعاون مع مجلس قطر للمباني الخضراء عبر منصة زوم الإلكترونية (ZOOM)، وذلك خلال الأيام 20، 22، 24 من شهر حزيران 2021.
تناول التدريب التعريف بمبادئ الأبنية الخضراء والجوانب البيئية خلال مرحلة تشغيل المبنى بالإضافة إلى نصائح تحضيرية للامتحان الدولي للأبنية الخضراء (LEED O+M). يُذكر أن التدريب جاء ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.
",2021-06-02,2,فلسطين- قطر,,https://www.palgbc.org/img/news/news16.jpg
اتفاقية تفاهم بلدية الخليل,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية الخليل  - Hebron Municipality. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد تيسير أبو اسنينة رئيس بلدية الخليل و م. وجدان الشريف المديرة التنفيذية للمجلس بحضور كل من الطاقم الهندسي للبلدية وطاقم المجلس.
",2021-10-01,2,الخليل - رام الله,,https://www.palgbc.org/img/news/news29.jpg
